[SPRITES]
# id	left	top	right	bottom	texture_id
# =========================== UI ===========================
50001	11	126	164	157	40
50002	171	126	244	157	40
#icon MARIO
50003	15	160	33	169	40
#icon Lugi
50004	15	170	33	179	40
#PowerMelter filled arrow
50005	63	161	72	170	40
#powerMelter filled icon
50006	72	161	88	170	40
#powerMelter empty arrow
50007	90	161	99	170	40
#powerMelter empty icon
50008	99	161	116	170	40
#empty card
50009	160	159	183	186	40
#mushroom card
50010	184	160	208	186	40
#fireflower card
50011	208	160	232	186	40
#startman card
50012	232	160	256	186	40

#font - 0					
50013	77	31	86	40	40
#font - 1		
50014	85	29	96	40	40
#font - 2		
50015	95	29	106	40	40
#font - 3		
50016	105	29	116	40	40
#font - 4		
50017	115	29	126	40	40
#font - 5		
50018	125	29	136	40	40
#font - 6		
50019	135	29	146	40	40
#font - 7		
50020	145	29	156	40	40
#font - 8		
50021	155	29	166	40	40
#font - 9		
50022	165	29	176	40	40
#font - A		
50023	175	29	186	40	40
#font - B		
50024	185	29	196	40	40
#font - C		
50025	75	39	86	50	40
#font - D		
50026	85	39	96	50	40
#font - E		
50027	95	39	106	50	40
#font - F		
50028	105	39	116	50	40
#font - G		
50029	115	39	126	50	40
#font - H		
50030	125	39	136	50	40
#font - I		
50031	135	39	146	50	40
#font - J		
50032	145	39	156	50	40
#font - K		
50033	155	39	166	50	40
#font - L		
50034	165	39	176	50	40
#font - M		
50035	175	39	186	50	40
#font - N		
50036	185	39	196	50	40
#font - O		
50037	75	49	86	60	40
#font - P		
50038	85	49	96	60	40
#font - Q		
50039	95	49	106	60	40
#font - R		
50040	105	49	116	60	40
#font - S		
50041	115	49	126	60	40
#font - T		
50042	125	49	136	60	40
#font - U		
50043	135	49	146	60	40
#font - V		
50044	145	49	156	60	40
#font - W		
50045	155	49	166	60	40
#font - X		
50046	165	49	176	60	40
#font - Y		
50047	175	49	186	60	40
#font - Z		
50048	185	49	196	60	40


#==========EFFECT POINT===================
#100
50049	61	89	72	97	40
#200
50050	75	89	87	97	40
#400
50051	90	89	102	97	40
#800
50052	105	89	117	97	40
#1000
50053	120	89	135	97	40
#2000
50054	138	89	154	97	40
#4000
50055	157	89	173	97	40
#8000
50056	176	89	192	97	40
#1UP
50057	195	89	211	97	40
